MED_NAME,MED_TOTAL,VALUE_TOTAL,MED_VALUE
Simvastatin,140757984.7500001,11257424.5626,0.07997716493735176
Atorvastatin,128301015.0,9255061.77350001,0.07213553044377716
Amlodipine,292277496.0,9875401.228800012,0.03378775774375736
Perindopril,160780553.0,14572831.740499971,0.09063802473984507
